Virus,taxonomy,vir.class,Host genome,Host taxonomy,Main method,Confidence score,Additional methods,d,p,c,o,f,g,s,lifestyle
S_S42C13297,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR12D-MP.3.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,91.8,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,temperate
S_S42C13297,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR17L-nonMP.9.semibin.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,91.4,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,temperate
S_S42C13297,Caudoviricetes_unclassified_family,Caudoviricetes,F-KN5-MP.5.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,89.2,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,temperate
S_S42C13297,Caudoviricetes_unclassified_family,Caudoviricetes,A-YL4-MP.4.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,87,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,temperate
S_S42C13297,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR12I-MP.1.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,85.4,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,temperate
S_S42C13297,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR12I-nonMP.21.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,82.5,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,temperate
S_S42C13297,Caudoviricetes_unclassified_family,Caudoviricetes,M-W-YL4.5.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Cloacibacterium;s__,iPHoP-RF,81.9,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Cloacibacterium,s__,temperate
S_S42C13297,Caudoviricetes_unclassified_family,Caudoviricetes,S-YL4-W.4.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,81.6,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,temperate
S_S42C1432,Caudoviricetes_unclassified_family,Caudoviricetes,M-YL4-MP.2.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__,iPHoP-RF,79.5,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__,temperate
S_S42C1432,Caudoviricetes_unclassified_family,Caudoviricetes,S-KN5-MP.8.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__,iPHoP-RF,79.3,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__,temperate
S_S42C2111,Caudoviricetes_unclassified_family,Caudoviricetes,S-KN5-MP.8.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__,iPHoP-RF,78.3,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__,virulent
S_S42C2111,Caudoviricetes_unclassified_family,Caudoviricetes,M-YL4-MP.2.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__,iPHoP-RF,77.5,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__,virulent
S_S42C4581,Caudoviricetes_unclassified_family,Caudoviricetes,A-YL2-W.4.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__,iPHoP-RF,81.6,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae,g__Zoogloea,s__,temperate
S_S42C4581,Caudoviricetes_unclassified_family,Caudoviricetes,A-YL2-nonMP.30.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Curvibacter;s__,iPHoP-RF,75.7,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Curvibacter,s__,temperate
S_S42C5953,Caudoviricetes_unclassified_family,Caudoviricetes,S-KN5-MP.8.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__,iPHoP-RF,95.7,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__,virulent
S_S42C5953,Caudoviricetes_unclassified_family,Caudoviricetes,M-YL4-MP.2.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__,iPHoP-RF,94.4,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__,virulent
S_S42C689,Caudoviricetes_unclassified_family,Caudoviricetes,M-DB2-nonMP.15.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,93.7,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,temperate
S_S42C689,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR12I-nonMP.21.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,93.1,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,temperate
S_S42C689,Caudoviricetes_unclassified_family,Caudoviricetes,A-YL4-MP.4.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,81.4,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,temperate
S_S42C689,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR12I-MP.1.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,80.6,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,temperate
S_S42C9468,Caudoviricetes_unclassified_family,Caudoviricetes,M-W-YL2.4.semibin.rename,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,iPHoP-RF,80.6,None,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__,virulent
S_S42C9696,Caudoviricetes_unclassified_family,Caudoviricetes,M-W-YL4.5.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Cloacibacterium;s__,iPHoP-RF,84.8,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Cloacibacterium,s__,temperate
S_S42C9696,Caudoviricetes_unclassified_family,Caudoviricetes,S-YL4-W.4.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,83.6,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,temperate
S_S42C9696,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR12I-MP.6.semibin.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__,iPHoP-RF,82.8,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__,temperate
S_S42C9696,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR12I-nonMP.21.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,81.9,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,temperate
S_S42C9696,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR12I-nonMP.4.semibin.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__,iPHoP-RF,76.8,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__,temperate
S_S42C9696,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR12D-nonMP.12.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__,iPHoP-RF,76.6,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__,temperate
S_S42C9696,Caudoviricetes_unclassified_family,Caudoviricetes,A-YL4-MP.4.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,76.1,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,temperate
S_S42C9696,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR12I-MP.1.rename,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,iPHoP-RF,75.2,None,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,temperate
S_S43C13655,Caudoviricetes_unclassified_family,Caudoviricetes,S-TN2-nonMP.18.semibin.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__,iPHoP-RF,91.4,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Tabrizicola,s__,virulent
S_S43C13655,Caudoviricetes_unclassified_family,Caudoviricetes,M-TN2-MP.4.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__,iPHoP-RF,82.5,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Tabrizicola,s__,virulent
S_S43C1430,Caudoviricetes_unclassified_family,Caudoviricetes,A-IN2-nonMP.14.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__,iPHoP-RF,96.7,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Janthinobacterium,s__,virulent
S_S43C1430,Caudoviricetes_unclassified_family,Caudoviricetes,A-TC2-nonMP.3.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__,iPHoP-RF,96.4,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Janthinobacterium,s__,virulent
S_S43C1430,Caudoviricetes_unclassified_family,Caudoviricetes,A-TN6-nonMP.10.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__,iPHoP-RF,96.4,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Janthinobacterium,s__,virulent
S_S43C1430,Caudoviricetes_unclassified_family,Caudoviricetes,A-DB2-MP.0.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__,iPHoP-RF,96.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Janthinobacterium,s__,virulent
S_S43C1430,Caudoviricetes_unclassified_family,Caudoviricetes,S-YL4-nonMP.6.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__,iPHoP-RF,92.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Janthinobacterium,s__,virulent
S_S43C1430,Caudoviricetes_unclassified_family,Caudoviricetes,S-YL4-MP.7.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Duganella;s__,iPHoP-RF,84.5,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Duganella,s__,virulent
S_S43C1430,Caudoviricetes_unclassified_family,Caudoviricetes,M-TN6-nonMP.1.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__,iPHoP-RF,84.2,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Janthinobacterium,s__,virulent
S_S43C1430,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR17L-nonMP.2.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Noviherbaspirillum_A;s__,iPHoP-RF,81.4,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Noviherbaspirillum_A,s__,virulent
S_S43C1430,Caudoviricetes_unclassified_family,Caudoviricetes,M-TSR1-MP.4.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Noviherbaspirillum_A;s__,iPHoP-RF,81.4,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Noviherbaspirillum_A,s__,virulent
S_S43C1430,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR12-MP.4.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Duganella;s__,iPHoP-RF,78.7,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Duganella,s__,virulent
S_S43C1430,Caudoviricetes_unclassified_family,Caudoviricetes,M-DB2-MP.5.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__,iPHoP-RF,77.5,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Massilia,s__,virulent
S_S43C14641,Caudoviricetes_unclassified_family,Caudoviricetes,A-DB2-MP.0.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__,iPHoP-RF,97.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Janthinobacterium,s__,virulent
S_S43C14641,Caudoviricetes_unclassified_family,Caudoviricetes,A-IN2-nonMP.14.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__,iPHoP-RF,97.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Janthinobacterium,s__,virulent
S_S43C14641,Caudoviricetes_unclassified_family,Caudoviricetes,A-TC2-nonMP.3.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__,iPHoP-RF,97.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Janthinobacterium,s__,virulent
S_S43C14641,Caudoviricetes_unclassified_family,Caudoviricetes,A-TN6-nonMP.10.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__,iPHoP-RF,97.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Janthinobacterium,s__,virulent
S_S43C14641,Caudoviricetes_unclassified_family,Caudoviricetes,S-YL4-nonMP.6.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__,iPHoP-RF,97.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Janthinobacterium,s__,virulent
S_S43C14641,Caudoviricetes_unclassified_family,Caudoviricetes,M-TN6-nonMP.1.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__,iPHoP-RF,96.4,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Janthinobacterium,s__,virulent
S_S43C14641,Caudoviricetes_unclassified_family,Caudoviricetes,S-YL4-MP.7.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Duganella;s__,iPHoP-RF,96.4,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Duganella,s__,virulent
S_S43C14641,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR19I-MP.33.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__,iPHoP-RF,95.7,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Massilia,s__,virulent
S_S43C14641,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR12-MP.4.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Duganella;s__,iPHoP-RF,95.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Duganella,s__,virulent
S_S43C14641,Caudoviricetes_unclassified_family,Caudoviricetes,M-DB2-MP.5.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__,iPHoP-RF,85.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Massilia,s__,virulent
S_S43C14641,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR12B-nonMP.7.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__,iPHoP-RF,85.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Massilia,s__,virulent
S_S43C14641,Caudoviricetes_unclassified_family,Caudoviricetes,S-TR12B-nonMP.8.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Duganella;s__,iPHoP-RF,78.7,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Duganella,s__,virulent
S_S43C14641,Caudoviricetes_unclassified_family,Caudoviricetes,M-TSR1-MP.0.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__,iPHoP-RF,76.8,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Massilia,s__,virulent
S_S43C1749,Caudoviricetes_unclassified_family,Caudoviricetes,S-TR19I-MP.3.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__,iPHoP-RF,96.7,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__,virulent
S_S43C1749,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR12D-nonMP.9.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__,iPHoP-RF,96.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__,virulent
S_S43C1749,Caudoviricetes_unclassified_family,Caudoviricetes,F-W-IN2.1.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__,iPHoP-RF,95.7,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__,virulent
S_S43C1749,Caudoviricetes_unclassified_family,Caudoviricetes,M-KN5-nonMP.16.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__,iPHoP-RF,95.4,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__,virulent
S_S43C1749,Caudoviricetes_unclassified_family,Caudoviricetes,M-YL4-nonMP.1.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__,iPHoP-RF,95.4,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__,virulent
S_S43C1749,Caudoviricetes_unclassified_family,Caudoviricetes,M-TR12B-nonMP.0.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__,iPHoP-RF,91.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__,virulent
S_S43C1749,Caudoviricetes_unclassified_family,Caudoviricetes,M-W-DB2.1.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__,iPHoP-RF,86,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__,virulent
S_S43C1749,Caudoviricetes_unclassified_family,Caudoviricetes,S-KN5-MP.36.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__,iPHoP-RF,78.3,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__,virulent
S_S43C2046,Caudoviricetes_unclassified_family,Caudoviricetes,A-TN2-MP.14.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA1943;s__,iPHoP-RF,79.5,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__UBA1943,s__,temperate
S_S43C2046,Caudoviricetes_unclassified_family,Caudoviricetes,S-TN2-W.33.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA1943;s__,iPHoP-RF,79.5,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__UBA1943,s__,temperate
S_S43C2046,Caudoviricetes_unclassified_family,Caudoviricetes,M-TN2-MP.4.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__,iPHoP-RF,78.7,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Tabrizicola,s__,temperate
S_S43C2046,Caudoviricetes_unclassified_family,Caudoviricetes,M-W-YL4.1.rename,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__,iPHoP-RF,76.4,None,d__Bacteria,c__Alphaproteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__,s__,temperate
S_S43C753,Caudoviricetes_unclassified_family,Caudoviricetes,A-TR17L-nonMP.15.rename,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chroococcidiopsidaceae;g__;s__,iPHoP-RF,75.7,None,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Chroococcidiopsidaceae,g__,s__,-
S_S44C13495,Caudoviricetes_unclassified_family,Caudoviricetes,M-TN2-MP.6.semibin.rename,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__,iPHoP-RF,95.1,None,d__Bacteria,c__Gammaproteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,s__,temperate
